"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"682","oa12","ec",21.934,0.1827,0.278266666666667,0.3155,0.212433333333333,3.08803794433802,-1.69990981559818,-1.2791753924472,-1.15359659700087,-1.54912706533
"683","oa12","ec",22.931,0.17276,0.256833333333333,0.2766,0.2181,3.13248970690885,-1.75585193088964,-1.35932791289008,-1.28518285975148,-1.52280160577455
"684","oa12","ec",23.928,0.16644,0.2358,0.26204,0.2028,3.17504932132765,-1.7931203948674,-1.44477129087887,-1.33925811511846,-1.59553500726511
"685","oa12","ec",24.925,0.14388,0.177966666666667,0.19724,0.164833333333333,3.2158713158479,-1.93877566015471,-1.72615901214411,-1.62333401762621,-1.80282041658748
"686","oa12","ec",25.922,0.14426,0.1474,0.18214,0.162933333333333,3.25509202900118,-1.93613805190661,-1.9146052992269,-1.70297965684246,-1.81441415979286
"687","oa12","ec",26.919,0.12938,0.136933333333333,0.17036,0.150366666666667,3.29283235698403,-2.0450014683663,-1.98826108959584,-1.76984143392712,-1.8946785232359
"688","oa12","ec",27.916,0.1174,0.1238,0.15606,0.1433,3.32920000115491,-2.14216837158814,-2.08908791873164,-1.85751473029352,-1.94281494414801
"689","oa12","ec",28.913,0.10058,0.1016,0.1385,0.123733333333333,3.36429132096618,-2.29680184823832,-2.28671174383776,-1.97688495335474,-2.0896265667382
"690","oa12","ec",29.91,0.0938,0.0926666666666667,0.13222,0.1299,3.39819287264186,-2.36659042296996,-2.37874645395961,-2.0232880770767,-2.04099035530558
"691","oa12","eo",0.997,15.4235,19.7848333333333,19.39696,12.4872,-0.00300450902029872,2.7358923203303,2.98491565091175,2.96511635275947,2.52470411966207
"692","oa12","eo",1.994,4.2904,5.88946666666667,6.96298,4.5937,0.690142671539647,1.45637996868658,1.77316544461066,1.94060754363114,1.52468579956603
"693","oa12","eo",2.991,2.12632,2.6814,2.65386,1.74543333333333,1.09560777964781,0.754392785996723,0.986339046185324,0.976015183953471,0.557002853383742
"694","oa12","eo",3.988,1.30822,1.72753333333333,1.57038,1.25776666666667,1.38328985209959,0.268667434610347,0.546694572180233,0.451317628290254,0.229337661477537
"695","oa12","eo",4.985,0.91364,1.2271,0.9782,0.792666666666667,1.6064334034138,-0.0903186582017039,0.204653662000365,-0.0220411308768803,-0.232352490399519
"696","oa12","eo",5.982,0.81076,0.8551,0.71416,0.5339,1.78875496020776,-0.209783199612373,-0.156536857820227,-0.33664825211103,-0.627546723475997
"697","oa12","eo",6.979,0.7283,0.782766666666667,0.73382,0.504666666666667,1.94290564003501,-0.317042227758268,-0.244920626550477,-0.309491512049438,-0.683857133652853
"698","oa12","eo",7.976,0.7835,0.9854,1.06924,0.737866666666667,2.07643703265954,-0.243984217186062,-0.0147076288722743,0.0669481157313696,-0.303992139177531
"699","oa12","eo",8.973,1.57226,2.22853333333333,2.2894,1.29986666666667,2.19422006831592,0.452514074732904,0.80134367103698,0.828289774502239,0.26226169510487
"700","oa12","eo",9.97,2.32924,3.61166666666667,3.66738,1.62093333333333,2.29958058397375,0.845542034111748,1.28416934632021,1.29947751066329,0.483002115031392
"701","oa12","eo",10.967,0.72844,0.993833333333333,1.35728,0.826133333333333,2.39489076377807,-0.316850017754518,-0.00618575908708614,0.305482697077288,-0.190999097987643
"702","oa12","eo",11.964,0.55696,0.685833333333333,0.81768,0.5559,2.4819021407677,-0.585261854919008,-0.377120635099022,-0.201284216961316,-0.587166857022713
"703","oa12","eo",12.961,0.41734,0.4558,0.52716,0.403633333333333,2.56194484844124,-0.873854041676898,-0.785701162170553,-0.640251171206449,-0.907248403889926
"704","oa12","eo",13.958,0.35828,0.3847,0.47914,0.386133333333333,2.63605282059496,-1.02644047537514,-0.955291469223888,-0.735762448701294,-0.951572546018795
"705","oa12","eo",14.955,0.35078,0.364633333333333,0.39954,0.306566666666667,2.70504569208191,-1.04759603265215,-1.0088629965245,-0.917441393631551,-1.18232003774159
"706","oa12","eo",15.952,0.38012,0.3943,0.38864,0.294733333333333,2.76958421321948,-0.967268286639023,-0.930643238098556,-0.945101813728275,-1.2216842862581
"707","oa12","eo",16.949,0.44658,0.433366666666667,0.36656,0.3306,2.83020883503592,-0.806136723382263,-0.836171104082124,-1.00359306027695,-1.10684609359521
"708","oa12","eo",17.946,0.5958,0.5689,0.38842,0.327833333333333,2.88736724887587,-0.517850238702955,-0.564050607225535,-0.945668050584832,-1.11524992982113
"709","oa12","eo",18.943,0.70932,0.5613,0.37566,0.289066666666667,2.94143447014614,-0.343448514357859,-0.577499757033983,-0.979070799996863,-1.24109793696486
"710","oa12","eo",19.94,0.73786,0.516466666666667,0.40012,0.315966666666667,2.99272776453369,-0.304001174274364,-0.660744529452445,-0.915990776865157,-1.15211855619125
"711","oa12","eo",20.937,0.98022,0.5485,0.43578,0.333066666666667,3.04151792870312,-0.0199782427156649,-0.600567999266852,-0.830617750136005,-1.09941260883888
"712","oa12","eo",21.934,1.09736,0.437266666666667,0.32474,0.2535,3.08803794433802,0.0929072951880144,-0.827212048790612,-1.12473041682317,-1.3723914559509
"713","oa12","eo",22.931,1.3397,0.433633333333333,0.3055,0.2437,3.13248970690885,0.292445708300803,-0.835555956042733,-1.18580550037049,-1.41181731835098
"714","oa12","eo",23.928,1.4755,0.413733333333333,0.29186,0.242166666666667,3.17504932132765,0.388996915400857,-0.882533635076022,-1.23148104374254,-1.41812908463991
"715","oa12","eo",24.925,1.52308,0.347266666666667,0.23418,0.194466666666667,3.2158713158479,0.420734600438932,-1.05766230233916,-1.45166522856156,-1.63749451021663
"716","oa12","eo",25.922,1.50322,0.303566666666667,0.1932,0.1677,3.25509202900118,0.40760947397805,-1.19215403307647,-1.64402935720372,-1.78557861015297
"717","oa12","eo",26.919,1.22266,0.25,0.1639,0.138966666666667,3.29283235698403,0.201028813148539,-1.38629436111989,-1.80849879323235,-1.9735211827635
"718","oa12","eo",27.916,1.13426,0.216733333333333,0.14348,0.118266666666667,3.32920000115491,0.125980455921573,-1.52908755978044,-1.94155962631806,-2.13481331721482
"719","oa12","eo",28.913,0.99924,0.1707,0.12186,0.1047,3.36429132096618,-0.000760288946408772,-1.76784764918174,-2.10488243416179,-2.25665616110565
"720","oa12","eo",29.91,0.9218,0.167033333333333,0.11908,0.1112,3.39819287264186,-0.0814269986957292,-1.78956188568457,-2.12795974283456,-2.19642489716566
